"Nº Centros de Custo";"Centros de Custo";"Centros de Custo Pai";"Perfil Desembolso Pecuário";"Áreas de Negócio";"Situação"
"1";"Receitas";;;"";"Ativo"
"1.1";"Receitas Agrícolas e Silviculturais";"Receitas";;"";"Ativo"
"1.1.1";"Aveia";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.2";"Azevém";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.3";"Cana";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.3.1";"Cana Própria";"Cana";;"AGRICULTURA";"Ativo"
"1.1.3.2";"Cana Parceria";"Cana";;"AGRICULTURA";"Ativo"
"1.1.4";"Eucalipto";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.5";"Feijão";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.6";"Mandioca";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.6.1";"Mandioca Própria";"Mandioca";;"AGRICULTURA";"Ativo"
"1.1.6.2";"Mandioca Parceria";"Mandioca";;"AGRICULTURA";"Ativo"
"1.1.7";"Milheto";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.8";"Milho Safrinha";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.9";"Milho Verão";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.10";"Seringueira";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.11";"Soja";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.11.1";"Soja Própria";"Soja";;"AGRICULTURA";"Ativo"
"1.1.11.2";"Soja Parceria";"Soja";;"AGRICULTURA";"Ativo"
"1.1.12";"Sorgo";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.1.13";"Outras Receitas Agrícolas e Silviculturais";"Receitas Agrícolas e Silviculturais";;"AGRICULTURA";"Ativo"
"1.2";"Receitas Outros";"Receitas";;"";"Ativo"
"1.2.1";"Arrendamento de Pastagem";"Receitas Outros";;"OUTROS + PECUÁRIA";"Ativo"
"1.2.2";"Arrendamento de Lavoura";"Receitas Outros";;"AGRICULTURA + OUTROS";"Ativo"
"1.2.3";"Compostagem";"Receitas Outros";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"1.2.4";"Ferramentas e Equipamentos";"Receitas Outros";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"1.2.5";"Madeiras";"Receitas Outros";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"1.2.6";"Prestação de Serviços";"Receitas Outros";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"1.2.7";"Recicláveis";"Receitas Outros";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"1.2.8";"Rendimento Financeiro";"Receitas Outros";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"1.2.9";"Veículos, Tratores e Implementos";"Receitas Outros";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"1.2.10";"Outras Receitas";"Receitas Outros";;"AGRICULTURA + OUTROS + PECUÁRIA";"Ativo"
"1.3";"Receitas Pecuárias";"Receitas";;"";"Ativo"
"1.3.1";"Fêmeas Abate";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.2";"Fêmeas Descarte";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.3";"Fêmeas Recria";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.4";"Fêmeas Reprodução";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.5";"Machos Abate";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.6";"Machos Recria";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.7";"Machos Reprodução";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.8";"Sêmen e Embriões";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.9";"Cana Forrageira";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.10";"Feno";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.11";"Silagem de Milheto";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.12";"Silagem de Milho";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.13";"Silagem de Sorgo";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.14";"Outras Receitas Pecuárias";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.15";"Silagem de Capiaçu";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.16";"Silagem de Capim";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.3.17";"Ração";"Receitas Pecuárias";;"PECUÁRIA";"Ativo"
"1.4";"Receitas Tropa e Outros Animais";"Receitas";;"";"Ativo"
"1.4.1";"Aves";"Receitas Tropa e Outros Animais";;"OUTROS + PECUÁRIA";"Ativo"
"1.4.2";"Ovinos";"Receitas Tropa e Outros Animais";;"OUTROS + PECUÁRIA";"Ativo"
"1.4.3";"Suínos";"Receitas Tropa e Outros Animais";;"OUTROS + PECUÁRIA";"Ativo"
"1.4.4";"Tropa de Serviço";"Receitas Tropa e Outros Animais";;"OUTROS + PECUÁRIA";"Ativo"
"1.4.5";"Tropa de Reprodução";"Receitas Tropa e Outros Animais";;"OUTROS + PECUÁRIA";"Ativo"
"1.4.6";"Outras Receitas com Outros Animais";"Receitas Tropa e Outros Animais";;"OUTROS + PECUÁRIA";"Ativo"
"2";"Agricultura e Silvicultura";;;"";"Ativo"
"2.1";"Cana";"Agricultura e Silvicultura";;"";"Ativo"
"2.1.1";"Arrendamento";"Cana";;"AGRICULTURA";"Ativo"
"2.1.2";"Colheita e Transporte";"Cana";;"AGRICULTURA";"Ativo"
"2.1.3";"Corretivos e Fertilizantes";"Cana";;"AGRICULTURA";"Ativo"
"2.1.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.1.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.1.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.1.4";"Defensivos";"Cana";;"AGRICULTURA";"Ativo"
"2.1.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.1.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.1.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Cana";;"AGRICULTURA";"Ativo"
"2.1.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Cana";;"AGRICULTURA";"Ativo"
"2.1.7";"Parceria Agrícola";"Cana";;"AGRICULTURA";"Ativo"
"2.1.8";"Planta de Cobertura";"Cana";;"AGRICULTURA";"Ativo"
"2.1.9";"Secagem e Armazenamento";"Cana";;"AGRICULTURA";"Ativo"
"2.1.10";"Seguro Agrícola";"Cana";;"AGRICULTURA";"Ativo"
"2.1.11";"Sementes/Mudas e Tratamento";"Cana";;"AGRICULTURA";"Ativo"
"2.1.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Cana";;"AGRICULTURA";"Ativo"
"2.1.13";"Outras Despesas com Cana";"Cana";;"AGRICULTURA";"Ativo"
"2.2";"Eucalipto";"Agricultura e Silvicultura";;"";"Ativo"
"2.2.1";"Arrendamento";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.2";"Colheita e Transporte";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.3";"Corretivos e Fertilizantes";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.2.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.2.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.2.4";"Defensivos";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.2.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.2.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.7";"Parceria Agrícola";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.8";"Planta de Cobertura";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.9";"Secagem e Armazenamento";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.10";"Seguro Agrícola";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.11";"Sementes/Mudas e Tratamento";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.2.13";"Outras Despesas com Eucalipto";"Eucalipto";;"AGRICULTURA";"Ativo"
"2.3";"Feijão";"Agricultura e Silvicultura";;"";"Ativo"
"2.3.1";"Arrendamento";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.2";"Colheita e Transporte";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.3";"Corretivos e Fertilizantes";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.3.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.3.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.3.4";"Defensivos";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.3.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.3.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.7";"Parceria Agrícola";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.8";"Planta de Cobertura";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.9";"Secagem e Armazenamento";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.10";"Seguro Agrícola";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.11";"Sementes/Mudas e Tratamento";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Feijão";;"AGRICULTURA";"Ativo"
"2.3.13";"Outras Despesas com Feijão";"Feijão";;"AGRICULTURA";"Ativo"
"2.4";"Mandioca";"Agricultura e Silvicultura";;"";"Ativo"
"2.4.1";"Arrendamento";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.2";"Colheita e Transporte";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.3";"Corretivos e Fertilizantes";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.4.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.4.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.4.4";"Defensivos";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.4.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.4.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.7";"Parceria Agrícola";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.8";"Planta de Cobertura";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.9";"Secagem e Armazenamento";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.10";"Seguro Agrícola";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.11";"Sementes/Mudas e Tratamento";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Mandioca";;"AGRICULTURA";"Ativo"
"2.4.13";"Outras Despesas com Mandioca";"Mandioca";;"AGRICULTURA";"Ativo"
"2.5";"Milho Safrinha";"Agricultura e Silvicultura";;"";"Ativo"
"2.5.1";"Arrendamento";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.2";"Colheita e Transporte";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.3";"Corretivos e Fertilizantes";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.5.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.5.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.5.4";"Defensivos";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.5.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.5.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.7";"Parceria Agrícola";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.8";"Planta de Cobertura";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.9";"Secagem e Armazenamento";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.10";"Seguro Agrícola";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.11";"Sementes/Mudas e Tratamento";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.5.13";"Outras Despesas com Milho Safrinha";"Milho Safrinha";;"AGRICULTURA";"Ativo"
"2.6";"Milho Verão";"Agricultura e Silvicultura";;"";"Ativo"
"2.6.1";"Arrendamento";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.2";"Colheita e Transporte";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.3";"Corretivos e Fertilizantes";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.6.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.6.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.6.4";"Defensivos";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.6.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.6.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.7";"Parceria Agrícola";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.8";"Planta de Cobertura";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.9";"Secagem e Armazenamento";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.10";"Seguro Agrícola";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.11";"Sementes/Mudas e Tratamento";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.6.13";"Outras Despesas com Milho Verão";"Milho Verão";;"AGRICULTURA";"Ativo"
"2.7";"Seringueira";"Agricultura e Silvicultura";;"";"Ativo"
"2.7.1";"Arrendamento";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.2";"Colheita e Transporte";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.3";"Corretivos e Fertilizantes";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.7.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.7.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.7.4";"Defensivos";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.7.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.7.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.7";"Parceria Agrícola";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.8";"Planta de Cobertura";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.9";"Secagem e Armazenamento";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.10";"Seguro Agrícola";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.11";"Secagem e Armazenamento";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Seringueira";;"AGRICULTURA";"Ativo"
"2.7.13";"Outras Despesas com Seringueira";"Seringueira";;"AGRICULTURA";"Ativo"
"2.8";"Soja";"Agricultura e Silvicultura";;"";"Ativo"
"2.8.1";"Arrendamento";"Soja";;"AGRICULTURA";"Ativo"
"2.8.2";"Colheita e Transporte";"Soja";;"AGRICULTURA";"Ativo"
"2.8.3";"Corretivos e Fertilizantes";"Soja";;"AGRICULTURA";"Ativo"
"2.8.3.1";"Corretivos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.8.3.2";"Fertilizantes Naturais";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.8.3.3";"Fertilizantes Químicos";"Corretivos e Fertilizantes";;"AGRICULTURA";"Ativo"
"2.8.4";"Defensivos";"Soja";;"AGRICULTURA";"Ativo"
"2.8.4.1";"Defensivos Biológicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.8.4.2";"Defensivos Químicos";"Defensivos";;"AGRICULTURA";"Ativo"
"2.8.5";"Mão de Obra Terceirizada (Funcionários Diaristas)";"Soja";;"AGRICULTURA";"Ativo"
"2.8.6";"Operações Mecanizadas Terceirizadas (Sem Colheita e Frete)";"Soja";;"AGRICULTURA";"Ativo"
"2.8.7";"Parceria Agrícola";"Soja";;"AGRICULTURA";"Ativo"
"2.8.8";"Planta de Cobertura";"Soja";;"AGRICULTURA";"Ativo"
"2.8.9";"Secagem e Armazenamento";"Soja";;"AGRICULTURA";"Ativo"
"2.8.10";"Seguro Agrícola";"Soja";;"AGRICULTURA";"Ativo"
"2.8.11";"Sementes/Mudas e Tratamento";"Soja";;"AGRICULTURA";"Ativo"
"2.8.12";"Taxas e Impostos NISP (Não Incidente Sobre a Produção)";"Soja";;"AGRICULTURA";"Ativo"
"2.8.13";"Outras Despesas com Soja";"Soja";;"AGRICULTURA";"Ativo"
"2.9";"Outras Culturas";"Agricultura e Silvicultura";;"";"Ativo"
"2.9.1";"Outras Despesas com Outras Culturas";"Outras Culturas";;"AGRICULTURA";"Ativo"
"2.9.2";"Outras Despesas com Parcerias Agrícolas";"Outras Culturas";;"AGRICULTURA";"Ativo"
"3";"Investimentos";;;"";"Ativo"
"3.1";"Investimentos em Bovinos";"Investimentos";;"";"Ativo"
"3.1.1";"Compra de Bovinos";"Investimentos em Bovinos";;"PECUÁRIA";"Ativo"
"3.1.2";"Comissões";"Investimentos em Bovinos";;"PECUÁRIA";"Ativo"
"3.1.3";"Deslocamento, Alimentação e Hospedagem";"Investimentos em Bovinos";;"PECUÁRIA";"Ativo"
